area_id,risk_abi,fitted_count_mean_abi,pred_count_mean_abi,pred_count_lower_abi,pred_count_upper_abi,observed,expected,risk_carbayes
alameda,0.9951534,3412.7305,3413.678,3137.95,3687.025,3416.0,3429.351,0.998925754222417
alpine,0.70235914,2.4972434,2.507,0.0,6.0,2.0,3.5555077,1.09757985880528
amador,1.0840108,157.01668,156.6,119.0,213.05005,209.0,144.84789,1.3146564340531
butte,1.384761,848.5634,848.244,755.975,938.05005,849.0,612.7869,1.37380895034579
calaveras,0.88987184,158.5959,158.547,125.0,204.02502,191.0,178.22331,1.11420680954733
colusa,1.4440584,68.88188,68.931,50.0,88.0,57.0,47.700203,1.31302975083375
contra costa,0.9555228,2530.093,2527.156,2281.0,2784.0752,2665.0,2647.8625,1.01371532826416
del norte,1.2915949,93.39695,93.568,73.0,115.0,93.0,72.31133,1.28032114237912
el dorado,0.9078608,501.38226,501.698,413.0,636.025,593.0,552.26776,1.09313856689529
fresno,1.0686389,1944.3529,1943.145,1770.975,2099.0,1946.0,1819.4667,1.06724748592184
glenn,1.8869557,129.78134,129.578,96.0,160.0,101.0,68.77816,1.40589283197622
humboldt,1.4061584,484.48224,485.048,419.0,560.0,463.0,344.54312,1.33326791272018
imperial,0.90723634,322.14435,322.179,278.0,366.0,322.0,355.08316,0.926306723517737
inyo,1.1320609,71.366356,71.506,53.975,90.0,71.0,63.041096,1.05785491680105
kern,1.1655893,1752.18,1753.374,1602.975,1916.025,1687.0,1503.2567,1.09798565188273
kings,1.0230856,248.92358,249.208,214.0,284.0,237.0,243.30672,0.983578399387495
lake,2.359408,503.6924,503.953,366.0,633.0,367.0,213.48256,1.68450557846319
lassen,1.1112316,76.41562,76.083,58.0,95.0,76.0,68.7666,1.12790384796133
los angeles,0.9277059,19443.674,19440.064,17694.7,21219.0,18305.0,20958.877,0.874690828759458
madera,1.1041578,360.88272,360.494,310.975,410.0,361.0,326.8398,1.09708941606751
marin,0.8256819,679.75,678.291,607.0,752.025,680.0,823.2589,0.834356956824638
mariposa,1.0968714,77.03205,77.193,60.0,96.0,76.0,70.22888,1.09613660796202
mendocino,1.7269397,454.13882,453.06,304.975,609.0,305.0,262.97318,1.19338348825646
merced,1.1509167,543.759,543.262,480.0,603.05005,537.0,472.45728,1.12047626224138
modoc,0.9704199,33.311943,33.299,22.0,46.0,32.0,34.32735,1.10366367800787
mono,0.58430254,18.629581,18.535,10.975,28.0,20.0,31.88345,0.985802736700851
monterey,0.87769115,769.5164,770.597,687.0,855.025,763.0,876.7508,0.888241548121487
napa,1.4563605,568.8096,570.176,393.0,1089.05,429.0,390.5692,1.09812610032476
nevada,0.94248945,345.1191,344.299,300.975,387.05005,345.0,366.17822,0.956490503775594
orange,0.8488542,5929.048,5929.92,5363.975,6648.025,6508.0,6984.766,0.933189144004299
placer,0.98819077,1044.8182,1046.994,851.975,1213.05,1118.0,1057.3042,1.06048251650232
plumas,1.1223408,84.370155,84.482,65.0,105.0,74.0,75.173386,1.14902015088049
riverside,0.8750348,4455.483,4453.043,3976.825,5298.325,5294.0,5091.778,1.03873941822956
sacramento,1.1578765,3680.2139,3677.691,3160.0,4367.075,4078.0,3178.4167,1.2763569223602
san benito,0.8609487,99.57074,99.882,77.975,122.0,108.0,115.65235,0.938346470594499
san bernardino,0.93185586,3520.4526,3519.926,3203.95,3918.025,3871.0,3777.894,1.02385749692974
san diego,0.8502431,5912.515,5910.948,5299.975,7249.075,7177.0,6953.9116,1.03152080259603
san francisco,1.0957344,2285.9749,2284.153,2085.975,2478.0,2288.0,2086.249,1.09471591110008
san joaquin,1.1645186,1649.9131,1649.193,1446.0,1911.0751,1764.0,1416.8198,1.23047812238761
san luis obispo,0.979861,774.77356,772.889,686.975,857.0,813.0,790.6974,1.02121676763655
san mateo,0.96161133,1800.0266,1801.106,1636.975,1963.05,1773.0,1871.8859,0.948143181529868
santa barbara,0.9296957,944.982,944.417,841.0,1041.0,957.0,1016.4422,0.948033935572496
santa clara,0.85313386,3399.9543,3396.992,3004.85,3830.225,3720.0,3985.2532,0.935612861436857
santa cruz,0.7082994,442.56955,442.977,378.975,545.0,538.0,624.834,0.873845868972302
shasta,1.4398087,785.96265,784.841,702.925,867.05005,787.0,545.8799,1.40804186883207
sierra,0.65747356,8.394765,8.309,3.0,14.0,8.0,12.768217,1.02577490550323
siskiyou,1.4465486,226.69138,226.531,182.975,266.02502,189.0,156.7119,1.25188935315463
solano,1.2798649,1267.332,1266.962,1039.0,1591.0751,1209.0,990.20764,1.20976310943752
sonoma,1.2721978,1729.689,1729.599,1329.975,2545.05,1391.0,1359.6069,1.02374989053733
stanislaus,1.1478157,1235.8793,1235.702,1074.975,1429.05,1252.0,1076.7228,1.15546064233707
sutter,1.3837649,312.32632,312.709,266.0,362.02502,276.0,225.70766,1.2216467144105
tehama,2.1070728,386.57037,386.293,283.975,446.0,269.0,183.46323,1.40198520525447
trinity,2.0446053,104.77125,104.77,67.975,140.0,72.0,51.242775,1.37530992889305
tulare,0.94500667,762.8696,763.045,681.975,846.025,747.0,807.26373,0.941500916655632
tuolumne,0.9557286,192.2383,192.92,142.975,248.02502,202.0,201.14319,1.04461023714249
ventura,0.8538245,1658.3584,1658.126,1467.925,1851.1001,1795.0,1942.2708,0.926461970794655
yolo,1.276563,509.7053,511.234,395.95,686.025,405.0,399.27936,1.05375737162251
yuba,1.7146758,246.36307,246.189,188.0,317.02502,225.0,143.6791,1.54161430999174
