metric,value,dataset
correlation,0.7743676723612611,glasgow
mae,0.7297828564777744,glasgow
rmse,1.0933180832030076,glasgow
abi_on_dagarbayes_slope,3.074100830356823,glasgow
abi_on_dagarbayes_intercept,-1.268538549827201,glasgow
correlation,0.8465153175209147,california
mae,0.1481643430475312,california
rmse,0.2311799346765053,california
abi_on_dagarbayes_slope,1.753327749733595,california
abi_on_dagarbayes_intercept,-0.8005117465319646,california
correlation,0.8842981725695378,south_korea
mae,0.1417141398364828,south_korea
rmse,0.1837069216585472,south_korea
abi_on_dagarbayes_slope,2.34400805943918,south_korea
abi_on_dagarbayes_intercept,-1.340867682306799,south_korea
